City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,2.42,76,100,8.13,TF,1730517895
1,grytviken,-54.2811,-36.5092,1.88,59,18,3.1,GS,1730517896
2,wailua homesteads,22.0669,-159.378,25.44,79,75,7.72,US,1730517897
3,roma,43.2128,-75.4557,8.71,91,100,6.17,US,1730517900
4,blackmans bay,-43.0167,147.3167,21.52,36,100,1.79,AU,1730517901
5,mount gambier,-37.8333,140.7667,26.4,19,100,6.75,AU,1730517902
6,tiksi,71.6872,128.8694,-24.11,100,85,0.72,RU,1730517903
7,humberto de campos,-2.5983,-43.4611,23.84,89,73,1.7,BR,1730517904
8,isafjordur,66.0755,-23.124,-0.96,84,90,3.71,IS,1730517906
9,albany,42.6001,-73.9662,11.47,64,100,1.34,US,1730517817
10,flin flon,54.7682,-101.865,-0.4,77,70,1.88,CA,1730517908
11,chake chake,-5.2459,39.7666,24.6,84,24,2.81,TZ,1730517909
12,tazovsky,67.4667,78.7,-6.6,92,100,8.6,RU,1730517910
13,georgetown,5.4112,100.3354,28.97,75,20,2.24,MY,1730517911
14,bilibino,68.0546,166.4372,-15.94,95,38,2.75,RU,1730517913
15,saipan,15.1355,145.701,29.39,74,40,4.63,MP,1730517693
16,hua hin,12.5707,99.9588,30.01,74,20,2.06,TH,1730517915
17,al hawatah,13.4167,34.6333,25.22,28,85,2.93,SD,1730517916
18,kitee,62.1,30.15,-2.7,82,63,1.92,FI,1730517917
19,santa cruz,-17.8,-63.1667,22.7,94,75,2.06,BO,1730517918
20,timbuktu,16.7735,-3.0074,27.52,14,97,3.28,ML,1730517920
21,tateyama,34.9833,139.8667,19.96,94,75,2.57,JP,1730517711
22,deqen,29.9618,90.7188,7.31,12,0,1.15,CN,1730517922
23,college,64.8569,-147.8028,-5.01,80,75,2.06,US,1730517923
24,constantia,44.1833,28.65,9.38,68,1,5.83,RO,1730517924
25,waingapu,-9.6567,120.2641,31.05,58,7,4.31,ID,1730517925
26,klaeng,12.7797,101.6483,29.74,54,73,3.06,TH,1730517663
27,ushuaia,-54.8,-68.3,2.81,81,100,6.69,AR,1730517583
