City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,fortuna,40.5982,-124.1573,15.52,63,0,5.14,US,1730938814
1,edinburgh of the seven seas,-37.0676,-12.3116,14.69,90,44,6.55,SH,1730938817
2,shenkursk,62.1091,42.896,1.24,84,99,4.59,RU,1730938818
3,edmundston,47.3737,-68.3251,8.13,79,100,6.17,CA,1730938820
4,inarajan village,13.2736,144.7484,28.77,87,99,1.33,GU,1730938821
5,adamstown,-25.066,-130.1015,21.76,87,100,6.53,PN,1730938822
6,qaqortoq,60.7167,-46.0333,-11.37,72,1,3.55,GL,1730938824
7,ushuaia,-54.8,-68.3,5.81,70,40,5.14,AR,1730938602
8,ketchikan,55.3422,-131.6461,8.99,87,75,4.63,US,1730938826
9,osorno,-40.5667,-73.15,12.17,76,0,1.54,CL,1730938828
10,altai,46.3722,96.2583,-0.16,50,0,2.17,MN,1730938830
11,la passe,45.5549,-0.8967,13.33,91,19,3.96,FR,1730938831
12,berriane,32.8265,3.7669,18.37,41,0,3.52,DZ,1730938832
13,solnechnyy,50.7214,136.6319,-6.77,58,3,1.46,RU,1730938833
14,albany,42.6001,-73.9662,19.8,66,81,1.61,US,1730938834
15,udachny,66.4167,112.4,-12.14,94,100,2.51,RU,1730938835
16,las vegas,36.175,-115.1372,15.69,15,20,3.09,US,1730938668
17,novaya igirma,57.1334,103.9112,-10.1,97,68,0.92,RU,1730938838
18,waitangi,-43.9535,-176.5597,13.33,88,42,1.9,NZ,1730938839
19,kodiak,57.79,-152.4072,4.73,81,100,6.69,US,1730938840
20,margaret river,-33.95,115.0667,13.74,64,56,4.71,AU,1730938841
21,sitka,57.0531,-135.33,6.94,81,75,2.06,US,1730938842
22,agat village,13.3886,144.6585,28.75,87,0,0.0,GU,1730938844
23,itoman,26.1247,127.6694,23.01,68,75,7.2,JP,1730938845
24,kailua-kona,19.6406,-155.9956,27.98,80,40,3.6,US,1730938846
25,tiksi,71.6872,128.8694,-13.85,80,100,4.76,RU,1730938847
26,walvis bay,-22.9575,14.5053,14.06,83,4,3.26,NA,1730938848
27,afaahiti,-17.75,-149.2833,25.81,83,39,8.55,PF,1730938850
28,yellowknife,62.456,-114.3525,-2.71,93,75,3.6,CA,1730938851
29,tivat,42.4364,18.6961,5.95,100,0,0.0,ME,1730938852
30,ribeira grande,38.5167,-28.7,14.87,77,8,1.79,PT,1730938853
31,bulawayo,-20.15,28.5833,19.54,69,100,5.7,ZW,1730938564
32,el granada,37.5027,-122.4694,20.24,30,0,9.26,US,1730938855
33,hermanus,-34.4187,19.2345,13.78,80,10,7.03,ZA,1730938858
34,la'ie,21.6477,-157.9253,27.81,75,10,8.16,US,1730938859
35,biltine,14.5333,20.9167,23.44,22,0,6.92,TD,1730938860
36,goundam,16.4145,-3.6708,26.47,16,0,4.01,ML,1730938861
37,wailua homesteads,22.0669,-159.378,27.44,83,40,8.23,US,1730938862
38,kurchatov,51.6601,35.6521,5.96,95,100,5.84,RU,1730938864
39,greymouth,-42.4667,171.2,14.33,92,91,1.18,NZ,1730938800
40,tsiombe,-25.3,45.4833,21.81,84,100,1.27,MG,1730938866
41,tauranga,-37.6861,176.1667,18.07,84,96,1.79,NZ,1730938867
42,pimentel,-6.8367,-79.9342,20.16,73,0,6.69,PE,1730938868
43,chimore,-16.9833,-65.1333,23.5,85,100,0.53,BO,1730938869
44,hamilton,39.1834,-84.5333,18.97,94,100,2.06,US,1730938622
45,port-aux-francais,-49.35,70.2167,3.81,70,20,9.25,TF,1730938872
46,bethel,41.3712,-73.414,21.33,66,40,1.54,US,1730938576
47,farasan,16.7022,42.1183,29.46,73,13,1.84,SA,1730938874
48,bardai,11.65,7.2333,19.81,37,9,3.53,NG,1730938875
49,al kharijah,25.4514,30.5464,17.31,50,0,3.12,EG,1730938876
50,homer,59.6425,-151.5483,5.94,68,100,3.09,US,1730938877
51,puerto natales,-51.7236,-72.4875,5.77,72,22,4.26,CL,1730938879
52,georgetown,5.4112,100.3354,26.96,82,20,3.09,MY,1730938880
53,boyolangu,-8.1181,111.8935,26.57,78,92,1.4,ID,1730938881
54,punta arenas,-53.15,-70.9167,7.06,70,40,3.6,CL,1730938854
55,thayetmyo,19.3167,95.1833,21.15,97,100,1.28,MM,1730938883
56,enewetak,11.3474,162.3373,28.57,81,13,9.39,MH,1730938885
57,primero de enero,21.9469,-78.4283,25.14,89,100,2.97,CU,1730938886
58,kone,-21.0595,164.8658,30.86,35,7,1.42,NC,1730938887
59,papatowai,-46.5619,169.4708,19.55,52,100,2.6,NZ,1730938888
60,olonkinbyen,70.9221,-8.7187,-1.87,80,42,8.9,SJ,1730938889
61,stanley,54.868,-1.6985,11.01,93,100,2.06,GB,1730938891
62,guayaramerin,-10.8368,-65.3614,22.98,97,96,1.9,BO,1730938892
63,dhidhdhoo,6.8833,73.1,27.82,70,80,0.95,MV,1730938893
64,vadso,70.0744,29.7487,2.09,93,20,5.66,NO,1730938894
65,kendari,-3.945,122.4989,28.5,76,85,0.84,ID,1730938895
66,callao,-12.0667,-77.15,19.84,77,100,4.12,PE,1730938897
67,huarmey,-10.0681,-78.1522,19.2,86,94,3.42,PE,1730938898
68,hithadhoo,-0.6,73.0833,27.69,77,58,4.05,MV,1730938899
69,tevriz,57.509,72.4042,-2.51,97,100,2.68,RU,1730938900
70,santa elena de uairen,4.6167,-61.1333,23.11,66,96,1.58,VE,1730938901
71,bilibino,68.0546,166.4372,-21.82,98,100,0.73,RU,1730938902
72,grytviken,-54.2811,-36.5092,0.67,94,92,1.96,GS,1730938904
73,longyearbyen,78.2186,15.6401,-7.09,79,0,4.12,SJ,1730938905
74,iskateley,67.6803,53.1512,-8.22,97,92,1.92,RU,1730938906
75,constantia,44.1833,28.65,2.61,48,0,1.99,RO,1730938907
76,chonchi,-42.6128,-73.8092,7.66,81,84,0.36,CL,1730938643
77,verdal,63.7933,11.4817,8.33,94,100,3.09,NO,1730938910
78,thompson,55.7435,-97.8558,-1.91,80,100,2.57,CA,1730938911
79,iqaluit,63.7506,-68.5145,-4.15,79,75,1.54,CA,1730938912
80,invercargill,-46.4,168.35,21.62,45,57,0.99,NZ,1730938913
81,richland center,43.3347,-90.3868,7.99,77,29,1.49,US,1730938914
82,wynyard,-41.0,145.7167,18.44,47,5,2.24,AU,1730938915
83,vila velha,-20.3297,-40.2925,23.97,94,75,3.09,BR,1730938642
84,san luis,-33.295,-66.3356,18.23,65,55,5.39,AR,1730938693
85,vilyuchinsk,52.9306,158.4028,-2.85,69,46,2.83,RU,1730938920
86,idri,27.5,13.2667,16.97,48,7,2.55,LY,1730938921
87,cannonvale,-20.2833,148.7,26.66,60,16,2.92,AU,1730938922
88,college,64.8569,-147.8028,-4.01,86,40,1.54,US,1730938923
89,marica,-22.9194,-42.8186,23.44,76,45,5.58,BR,1730938925
90,ilulissat,69.2167,-51.1,-9.99,62,74,1.03,GL,1730938644
91,blackmans bay,-43.0167,147.3167,17.07,50,6,0.89,AU,1730938929
92,remire-montjoly,4.9167,-52.2667,28.02,83,0,2.06,GF,1730938931
93,inirida,3.8653,-67.9239,26.21,85,82,1.28,CO,1730938932
94,antsiranana,-12.2787,49.2917,24.27,81,44,7.02,MG,1730938934
95,copala,16.65,-98.9833,26.23,83,47,2.07,MX,1730938935
96,katsuren-haebaru,26.3369,127.8719,23.01,66,75,6.17,JP,1730938937
97,sandanski,41.5667,23.2833,8.44,73,13,1.23,BG,1730938938
98,palikir - national government center,6.9248,158.1611,32.41,70,75,5.14,FM,1730938939
99,barcelos,41.5388,-8.6151,15.98,84,32,2.13,PT,1730938940
100,geraldton,-28.7667,114.6,19.23,52,3,8.23,AU,1730938941
101,new norfolk,-42.7826,147.0587,17.18,37,5,2.38,AU,1730938942
102,hawaiian paradise park,19.5933,-154.9731,27.72,81,100,6.17,US,1730938944
103,santo antonio do ica,-3.1022,-67.9397,24.05,93,88,0.5,BR,1730938945
104,san agustin de valle fertil,-30.6335,-67.4682,23.59,61,73,5.04,AR,1730938946
105,east london,-33.0153,27.9116,14.16,69,62,1.69,ZA,1730938947
106,hakha,22.65,93.6167,10.7,97,5,0.36,MM,1730938948
107,arno,60.1167,18.6333,4.15,91,99,3.3,SE,1730938950
108,egilsstadir,65.2653,-14.3948,7.95,76,75,4.63,IS,1730938951
109,chibougamau,49.9168,-74.3659,0.79,93,100,2.06,CA,1730938952
110,vorgashor,67.5833,63.95,-9.02,96,100,2.75,RU,1730938953
111,port alfred,-33.5906,26.891,13.93,67,33,1.6,ZA,1730938728
112,dunedin,-45.8742,170.5036,16.22,71,65,3.23,NZ,1730938956
113,dzagam,40.9033,45.8856,4.69,66,43,3.45,AZ,1730938957
114,mil'kovo,55.6078,37.7956,4.63,65,100,4.87,RU,1730938958
115,korop,51.5664,32.9586,4.67,95,76,3.98,UA,1730938959
116,sinabang,2.4803,96.3801,26.06,78,84,1.29,ID,1730938961
117,gaalkacyo,6.7697,47.4308,24.73,80,41,4.91,SO,1730938962
118,kerikeri,-35.2268,173.9474,20.2,51,18,3.83,NZ,1730938963
119,nemuro,43.3236,145.575,4.88,67,100,7.66,JP,1730938965
